"Actiware Export File  (Version 05.00 )"
"Filename:","C:\Users\memlab\Desktop\Aging_ActigraphReports\30015_11_10_2017_4_15_00_PM_New_Analysis.csv"
"Analysis Name:","New Analysis"
"Subject Identity:","30015"
"Data Collection Start Date:","2017-11-10"
"Data Collection Start Time:","16:15:00"



"-------------------- Epoch-by-Epoch Data -------------------"

"Column Title","Notes"
"------------------","---------"
"Line:","Line Number"
"Date:","Date (start of epoch)"
"Time:","Time (start of epoch)"
"Activity:","Activity (counts)"
"Marker:","1 means Event Marker button was pressed"
"White Light:","White Light"
"Sleep/Wake:","Sleep/Wake Score (0=Sleep; 1=Wake)"
"Interval Status:","Interval Status: Active; Rest; Sleep; or Excluded"

"Line","Date","Time","Activity","Marker","White Light","Sleep/Wake","Interval Status",

"1","2017-11-10","16:15:00","142","0","112.40","NaN","ACTIVE",
"2","2017-11-10","16:15:30","5","0","145.76","NaN","ACTIVE",
"3","2017-11-10","16:16:00","0","0","155.55","NaN","ACTIVE",
"4","2017-11-10","16:16:30","16","0","155.55","NaN","ACTIVE",
"5","2017-11-10","16:17:00","59","0","9.72","1","ACTIVE",
"6","2017-11-10","16:17:30","87","0","12.88","1","ACTIVE",
"7","2017-11-10","16:18:00","9","0","12.07","1","ACTIVE",
"8","2017-11-10","16:18:30","44","0","12.61","1","ACTIVE",
"9","2017-11-10","16:19:00","6","0","12.07","1","ACTIVE",
"10","2017-11-10","16:19:30","0","0","15.66","1","ACTIVE",
"11","2017-11-10","16:20:00","33","0","18.22","1","ACTIVE",
"12","2017-11-10","16:20:30","59","0","9.93","1","ACTIVE",
"13","2017-11-10","16:21:00","284","0","14.67","1","ACTIVE",
"14","2017-11-10","16:21:30","109","0","30.64","1","ACTIVE",
"15","2017-11-10","16:22:00","183","0","20.30","1","ACTIVE",
"16","2017-11-10","16:22:30","303","0","19.03","1","ACTIVE",
"17","2017-11-10","16:23:00","69","0","25.77","1","ACTIVE",
"18","2017-11-10","16:23:30","114","0","15.66","1","ACTIVE",
"19","2017-11-10","16:24:00","293","0","7.50","1","ACTIVE",
"20","2017-11-10","16:24:30","265","0","4.18","1","ACTIVE",
"21","2017-11-10","16:25:00","50","0","25.22","1","ACTIVE",
"22","2017-11-10","16:25:30","12","0","21.67","1","ACTIVE",
"23","2017-11-10","16:26:00","48","0","41.50","1","ACTIVE",
"24","2017-11-10","16:26:30","5","0","15.32","1","ACTIVE",
