"Actiware Export File  (Version 05.00 )"
"Filename:","C:\Users\memlab\Desktop\Aging_ActigraphReports\30004_10_23_2017_10_20_00_AM_New_Analysis.csv"
"Analysis Name:","New Analysis"
"Subject Identity:","30004"
"Data Collection Start Date:","2017-10-23"
"Data Collection Start Time:","10:20:00"



"-------------------- Epoch-by-Epoch Data -------------------"

"Column Title","Notes"
"------------------","---------"
"Line:","Line Number"
"Date:","Date (start of epoch)"
"Time:","Time (start of epoch)"
"Activity:","Activity (counts)"
"Marker:","1 means Event Marker button was pressed"
"White Light:","White Light"
"Sleep/Wake:","Sleep/Wake Score (0=Sleep; 1=Wake)"
"Interval Status:","Interval Status: Active; Rest; Sleep; or Excluded"

"Line","Date","Time","Activity","Marker","White Light","Sleep/Wake","Interval Status",

"1","2017-10-23","10:20:00","217","0","4664.48","NaN","ACTIVE",
"2","2017-10-23","10:20:30","336","0","4664.48","NaN","ACTIVE",
"3","2017-10-23","10:21:00","284","0","649.75","NaN","ACTIVE",
"4","2017-10-23","10:21:30","314","0","317.92","NaN","ACTIVE",
"5","2017-10-23","10:22:00","395","0","24.15","1","ACTIVE",
"6","2017-10-23","10:22:30","325","0","109.99","1","ACTIVE",
"7","2017-10-23","10:23:00","284","0","8.72","1","ACTIVE",
"8","2017-10-23","10:23:30","293","0","4.18","1","ACTIVE",
"9","2017-10-23","10:24:00","325","0","2.89","1","ACTIVE",
"10","2017-10-23","10:24:30","293","0","22.14","1","ACTIVE",
"11","2017-10-23","10:25:00","176","0","25.22","1","ACTIVE",
"12","2017-10-23","10:25:30","265","0","10.83","1","ACTIVE",
"13","2017-10-23","10:26:00","248","0","3.29","1","ACTIVE",
"14","2017-10-23","10:26:30","225","0","2.83","1","ACTIVE",
"15","2017-10-23","10:27:00","233","0","4.36","1","ACTIVE",
"16","2017-10-23","10:27:30","303","0","77.78","1","ACTIVE",
"17","2017-10-23","10:28:00","293","0","439.97","1","ACTIVE",
"18","2017-10-23","10:28:30","265","0","8016.46","1","ACTIVE",
"19","2017-10-23","10:29:00","39","0","4870.99","1","ACTIVE",
"20","2017-10-23","10:29:30","91","0","2543.33","1","ACTIVE",
"21","2017-10-23","10:30:00","151","0","649.75","1","ACTIVE",
"22","2017-10-23","10:30:30","209","0","1191.65","1","ACTIVE",
"23","2017-10-23","10:31:00","137","0","8016.46","1","ACTIVE",
"24","2017-10-23","10:31:30","137","0","29404.51","1","ACTIVE",
"25","2017-10-23","10:32:00","105","0","11585.24","1","ACTIVE",
"26","2017-10-23","10:32:30","142","0","1961.17","1","ACTIVE",
"27","2017-10-23","10:33:00","142","0","42494.84","1","ACTIVE",
"28","2017-10-23","10:33:30","170","0","28774.44","1","ACTIVE",
"29","2017-10-23","10:34:00","183","0","18657.91","1","ACTIVE",
"30","2017-10-23","10:34:30","248","0","27554.49","1","ACTIVE",
"31","2017-10-23","10:35:00","209","0","23170.47","1","ACTIVE",
"32","2017-10-23","10:35:30","303","0","806.90","1","ACTIVE",
"33","2017-10-23","10:36:00","195","0","74.48","1","ACTIVE",
"34","2017-10-23","10:36:30","233","0","21.67","1","ACTIVE",
"35","2017-10-23","10:37:00","151","0","13.17","1","ACTIVE",
"36","2017-10-23","10:37:30","183","0","24.68","1","ACTIVE",
"37","2017-10-23","10:38:00","189","0","26.91","1","ACTIVE",
"38","2017-10-23","10:38:30","382","0","7.83","1","ACTIVE",
"39","2017-10-23","10:39:00","336","0","26.33","1","ACTIVE",
"40","2017-10-23","10:39:30","233","0","61.29","1","ACTIVE",
"41","2017-10-23","10:40:00","44","0","595.83","1","ACTIVE",
"42","2017-10-23","10:40:30","137","0","16.71","1","ACTIVE",
"43","2017-10-23","10:41:00","284","0","772.69","1","ACTIVE",
"44","2017-10-23","10:41:30","293","0","100.86","1","ACTIVE",
"45","2017-10-23","10:42:00","84","0","2.95","1","ACTIVE",
"46","2017-10-23","10:42:30","284","0","37.24","1","ACTIVE",
"47","2017-10-23","10:43:00","303","0","899.20","1","ACTIVE",
"48","2017-10-23","10:43:30","347","0","635.83","1","ACTIVE",
