"Actiware Export File  (Version 05.00 )"
"Filename:","C:\Users\memlab\Desktop\Aging_ActigraphReports\30064_11_3_2017_11_03_00_AM_New_Analysis.csv"
"Analysis Name:","New Analysis"
"Subject Identity:","30064"
"Data Collection Start Date:","2017-11-03"
"Data Collection Start Time:","11:03:00"



"-------------------- Epoch-by-Epoch Data -------------------"

"Column Title","Notes"
"------------------","---------"
"Line:","Line Number"
"Date:","Date (start of epoch)"
"Time:","Time (start of epoch)"
"Activity:","Activity (counts)"
"Marker:","1 means Event Marker button was pressed"
"White Light:","White Light"
"Sleep/Wake:","Sleep/Wake Score (0=Sleep; 1=Wake)"
"Interval Status:","Interval Status: Active; Rest; Sleep; or Excluded"

"Line","Date","Time","Activity","Marker","White Light","Sleep/Wake","Interval Status",

"1","2017-11-03","11:03:00","96","0","61.29","NaN","ACTIVE",
"2","2017-11-03","11:03:30","80","0","166.00","NaN","ACTIVE",
"3","2017-11-03","11:04:00","54","0","184.98","NaN","ACTIVE",
"4","2017-11-03","11:04:30","2","0","189.03","NaN","ACTIVE",
"5","2017-11-03","11:05:00","86","0","142.64","1","ACTIVE",
"6","2017-11-03","11:05:30","272","0","109.99","1","ACTIVE",
"7","2017-11-03","11:06:00","5","0","173.34","1","ACTIVE",
"8","2017-11-03","11:06:30","86","0","88.57","1","ACTIVE",
"9","2017-11-03","11:07:00","54","0","42.41","1","ACTIVE",
"10","2017-11-03","11:07:30","310","0","27.50","1","ACTIVE",
"11","2017-11-03","11:08:00","310","0","21.20","1","ACTIVE",
"12","2017-11-03","11:08:30","493","0","1357.04","1","ACTIVE",
"13","2017-11-03","11:09:00","578","0","1417.12","1","ACTIVE",
"14","2017-11-03","11:09:30","246","0","3675.56","1","ACTIVE",
"15","2017-11-03","11:10:00","432","0","1545.38","1","ACTIVE",
"16","2017-11-03","11:10:30","379","0","5792.62","1","ACTIVE",
"17","2017-11-03","11:11:00","262","0","14387.22","1","ACTIVE",
"18","2017-11-03","11:11:30","432","0","11585.24","1","ACTIVE",
"19","2017-11-03","11:12:00","493","0","24196.32","1","ACTIVE",
"20","2017-11-03","11:12:30","446","0","17484.03","1","ACTIVE",
"21","2017-11-03","11:13:00","355","0","9741.98","1","ACTIVE",
"22","2017-11-03","11:13:30","344","0","13482.03","1","ACTIVE",
"23","2017-11-03","11:14:00","405","0","22188.12","1","ACTIVE",
"24","2017-11-03","11:14:30","366","0","17866.88","1","ACTIVE",
"25","2017-11-03","11:15:00","432","0","10623.71","1","ACTIVE",
"26","2017-11-03","11:15:30","262","0","5198.03","1","ACTIVE",
"27","2017-11-03","11:16:00","493","0","5792.62","1","ACTIVE",
"28","2017-11-03","11:16:30","246","0","861.08","1","ACTIVE",
"29","2017-11-03","11:17:00","262","0","1299.51","1","ACTIVE",
"30","2017-11-03","11:17:30","493","0","210.66","1","ACTIVE",
"31","2017-11-03","11:18:00","310","0","136.59","1","ACTIVE",
"32","2017-11-03","11:18:30","405","0","64.00","1","ACTIVE",
"33","2017-11-03","11:19:00","301","0","100.86","1","ACTIVE",
"34","2017-11-03","11:19:30","262","0","125.26","1","ACTIVE",
